ID,PEAKID,URL,NAME,ALTERNATE_NAMES,LAT,LON,ELEVATION_M,ELEVATION_FT,STATUS,FIRST_ASCENT_ON,FIRST_ASCENT_BY,DESCRIPTION,PROVINCE,DISTRICT,MUNICIPALITY,RANGE,NEPALESE_FEES,FOREIGNER_FEES
EKRA,EKRA,https://nepalhimalpeakprofile.org/ek-rate-danda,Ek Rate Danda,,27.70888888888889,87.005,6212.0,20384.0,Opened,,,"Ek Rate Danda, is a part of Mahalangur range which is located in Solukhumbu and Sankhuwasabha District of Eastern Nepal.",Province 1,Solukhumbu/Sankhuwasabha,Silichong/Mahakulung,Makalu,Spring 4000 (NRs),Spring 250 (USD)
FIRE,FIRE,https://nepalhimalpeakprofile.org/firankof-east,Firankof East,,29.90138888888889,81.45722222222223,6697.0,22080.0,Opened,,,,Karnali Pradesh,Humla/Bajhang,Namkha/Kanda,Saipal,Spring 5000 (NRs),Spring 400 (USD)
FIRN,FIRN,,Firnkopf,"Phirankoph,Firnkopf East",29.901198,81.455305,,,,,,Firnkopf (6 730m/22 080ft a.s.l.) is a mountain in the Himalayas in Nepal. The prominence is 815m/2 674ft.,Karnali Pradesh,Humla/Bajhang,,,,
FIRW,FIRW,https://nepalhimalpeakprofile.org/firankof-west,Firankof West,,29.898055555555555,81.44694444444445,6745.0,22129.0,Opened,,,,Sudhurpashchim Pradesh,Bajhang,Kanda,Saipal,Spring 5000 (NRs),Spring 400 (USD)
FRND,NUPK,https://nepalhimalpeakprofile.org/friendship-peak,Friendship Peak,"Nupche Kang,Nupche Himal",28.10138888888889,86.60499999999999,6592.0,21627.0,Opened,,,"Friendship Peak, part of Mahalangur range of the Nepalese Himalayas, is located in the Solukhumbu District of Eastern Nepal.",Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Mahalangur,Spring 5000 (NRs),Spring 400 (USD)
FUTI,FUTI,,Futi Himal,,28.917761,84.126657,,,,,,Futi Himal (6 410m/21 030ft a.s.l.) is a mountain in the Himalayas in Nepal. The prominence is 83m/272ft.By elevation Futi Himal is# 36 out of 119 in Annapurna Conservation Area# 66 out of 216 in Western Development Region# 13 out of 71 in MustangBy prominence Futi Himal is# 100 out of 119 in Annapurna Conservation Area# 60 out of 71 in Mustang,Gandaki Pradesh,Mustang/Myagdi,,,,
GAMA,GAMA,,Gama Peak,,28.716846,83.276834,,,,,,,,,,,,
GAN1,GAN1,https://nepalhimalpeakprofile.org/ganesh-i,Ganesh I,"Yangra,Yangra Kangri",28.391666666666666,85.12888888888888,7429.0,24373.0,Opened,24/10/1955,"Raymond Lambert,Eric Gauchat,Claude Kogan","Ganesh Himal, named after the Hindu God Ganesh (the legendary elephant headed god),  is a sub range of the Himalayas, located in the north central part of Nepal and some located in the Tibetan border. Trisuli Gandaki valley on the east separates Gandesh Himal from Langtang while budhi Gandaki Valley and shyar Khola valley on the west separates it from Sringi HImal and Mansiri Himal. The range is about 70 km in the north – northwest of Kathmandu Valley. The highest peak in the range is Yangra or Ganesh I.",Gandaki Pradesh,Gorkha/NC,Dharche/NC,Ganesh,Rs (NRs), (USD)
GAN2,GAN2,https://nepalhimalpeakprofile.org/ganesh-ii,Ganesh II,,28.378888888888888,85.05916666666667,7111.0,23353.0,Opened,16/10/1981,"Hermann Warth,Ang Chepal Sherpa,Nga Temba Sherpa,Nima Tenzing Sherpa","Ganesh II is the part of Ganesh sub range of the Nepalese Himalayas. It lies between the Budhi Gandaki and Trisuli Gandaki Vallies, about 70 km northwest from the country capita Kathmandu.",Gandaki Pradesh,Gorkha,Dharche,Ganesh,Rs (NRs), (USD)
GAN3,GAN3,https://nepalhimalpeakprofile.org/ganesh-iii,Ganesh III,"Salasungo,Kang Lombo",28.335277777777776,85.12472222222222,7110.0,23136.0,Opened,19/10/1979,"Hideo Ogura,Pemba Tshering Sherpa,Dawa Norbu Sherpa",Ganesh III is the part of sub range Ganesh of Nepal Himalayan range. It is also known as Salsungo. It lies between the Budhi Gandaki and Trisuli Gandaki valleys about 70 km northwest from Kathmandu Valley.,Bagmati Pradesh,Dhading/Rasuwa,Parbati Kunda/Ruby,Ganesh,Rs (NRs), (USD)
GAN4,GAN4,https://nepalhimalpeakprofile.org/ganesh-iv,Ganesh IV,Pabil,28.345024,85.079139,7052.0,23307.0,Opened,20/10/1978,"T Tomita,H Yoshio,K Aoyagi,M Hashimoto,Y Hashimoto,Y Okuma,T Shimoji,T Suzuki,I Yasuda,Yogendra Thapa,Kamal Bhandari,Mingma Tenzing Sherpa,Sonan Wolang Sherpa",,Bagmati Pradesh,Gorkha/Dhading,Dharche/Ruby,Ganesh,Spring 6000 (NRs),Spring 500 (USD)
GAN5,GAN5,https://nepalhimalpeakprofile.org/ganesh-v,Ganesh V,Lapsang Karbo,28.33194444444445,85.16083333333334,6986.0,22218.0,Opened,21/04/1980,"Tatsumi Sasaki,Akihiko Komori,Lhakpa Dorje Sherpa,Nima Tenzing Sherpa,Nima Nuru Sherpa",Ganesh V is the part of Ganesh sub range which is located in the Dhading and Rasuwa District of Central Nepal.,Bagmati Pradesh,Rasuwa/NC,Parbati Kunda/NC,Ganesh,Spring 5000 (NRs),Spring 400 (USD)
GAN6,GAN6,https://nepalhimalpeakprofile.org/ganesh-vi,Ganesh VI,"Lampo,Langpo Kangri",28.371111111111112,85.06388888888888,6480.0,22664.0,Opened,23/05/2000,"Osamu Tanabe,Yasuhiro Hanatani",Ganesh VI is part of Ganesh sub range which is located in the Gorkhar district of Western Nepal.,Gandaki Pradesh,Gorkha,Dharche,Ganesh,Rs (NRs), (USD)
GAN7,GAN7,,Ganesh VII,,28.330141,85.142724,,,,,,"Ganesh VII (6 457m/21 184ft a.s.l.) is a mountain in the Himalayas on the border of Nepal, China. The prominence is 194m/636ft.By elevation Ganesh VII is# 77 out of 127 in Qomolangma National Nature Preserve# 14 out of 31 in Gyirong County# 3 out of 23 in Dhading# 36 out of 178 in Central Development RegionBy prominence Ganesh VII is# 92 out of 127 in Qomolangma National Nature Preserve# 23 out of 31 in Gyirong County# 7 out of 23 in Dhading# 92 out of 178 in Central Development Region",Bagmati Pradesh,Dhading/Rasuwa,,,,
GANC,GANC,https://nepalhimalpeakprofile.org/ganchenpo,Ganchenpo,"Fluted Peak,Gangchenpo,Ganchempo",28.16888888888889,85.68111111111112,6378.0,20925.0,Opened,01/01/1970,"Terry Bech,Cheri Bech",Ganchenpo is in Jugal Mountain Range of Nepal Himalaya. It is located in Bagmati Province and is in Rasuwa District. Ganchenpo is 3.7km west of Urkenmang and 14.4km east of Ghanjala Chuli. Ganchenpo is 6.6km south west of Langshisha Ri of elevation of 6412 meters.,Bagmati Pradesh,Rasuwa,Gosai Kunda,Jugal,NRs 5000 in spring (NRs),USD 400 in spring (USD)
GAND,GAND,https://nepalhimalpeakprofile.org/gandharva-chuli,Gandharva Chuli,"Gandharbha Chuli,Gabelhom Peak",28.53833333333333,83.96222222222222,6248.0,20499.0,Opened,06/05/2023,"Cosmin Andron,Christina Pogacean",,Gandaki Pradesh,Kaski,Machhapuchhre,Annapurna,Spring 4000 (NRs),Spring 250 (USD)
GANM,GANG,https://nepalhimalpeakprofile.org/gangapurna,Gangapurna,,28.60527777777778,83.96583333333334,7455.0,24458.0,Opened,06/05/1965,"Gunter Hauser,Ludwig Greissl,Hermann Kollensperger,Erich Reismueller,Ang Temba Sherpa,Phu Dorje Sherpa","Mountain Description
Mt. Gangapurna is one of the famous, beautiful and excellent mountains in Nepal. It is located to the northeast of Mt. Annapurna at the opposite end of Grand Barrier to Tilicho peak on the shoulder extending 10 kilometers from Annapurna directly east of Roc Noir. It lies between Annapurna III and Tilicho peak.
Gangapurna can be seen from the foothills of the Annapurna range as far as to Pokhara. Gangapurna peak rise high above the Manang valley with breathtaking views across to the Annapurna II, III and IV, Glacier Dome, Dhaulagiri, Tilicho peak and Manaslu and then ascending high above Marshyangdi valley.",Gandaki Pradesh,Kaski/Manang,Nesyang/Annapurna,Annapurna,Rs (NRs),US (USD)
GANW,GANW,https://nepalhimalpeakprofile.org/gangapurna-west,Gangapurna West,Lachenel,28.601111111111116,83.94388888888889,7140.0,23425.0,Opened,,,,Gandaki Pradesh,Kaski/Manang,Nesyang/Annapurna,Annapurna,Spring 6000 (NRs),Spring 500 (USD)
GAUG,GAUG,https://nepalhimalpeakprofile.org/gaugiri,Gaugiri,,29.04527777777778,84.19,6110.0,20046.0,Opened,28/05/2023,"Peter Ackroyd,Jim Frush",,Gandaki Pradesh,Mustang,Dalome,Damodar,Spring 4000 (NRs),Spring 250 (USD)
GAUR,GAUS,https://nepalhimalpeakprofile.org/gauri,Gauri,,27.93722222222222,86.35027777777778,6983.0,22910.0,Opened,,,,Bagmati Pradesh,Dolakha/NC,Gaurishankar/NC,Rolwaling,Spring 5000 (NRs),Spring 400 (USD)
GAUS,GAUR,https://nepalhimalpeakprofile.org/gaurishankar,Gaurishankar,Jomo Tseringma,27.965,86.33777777777777,7135.0,23406.0,Opened,08/05/1979,"John Roskelley,Dorje Sherpa",,Bagmati Pradesh,Dolakha/NC,Gaurishankar/NC,Rolwaling,Spring 6000 (NRs),Spring 500 (USD)
GDNG,GDNG,,Gave Ding,,30.12542,82.164697,,,,,,"The tenacious team of Paul Ramdsen and Mick Fowler, who already received a Piolet d’Or in 2002 for their ascent of Siguniang and another in 2013 for the Prow of Shiva, made the first ascent of this isolated summit on the northwest border of Nepal, which had seen no previous attempts. After studying the different ascent possibilities, the English climbers spent five days (from base camp to summit) putting up a very elegant new line on the north face. The route is protected from objective dangers. They reached the summit on 22 October and made the descent in two days by the west ridge and then a couloir on the north side. The overall difficulty of the 1,600 m route is estimated at ED+. Paul’s description of the line: “The first half is similar to the north face of the Eiger in terms of the complexity of the itinerary, the second half is similar to the Peuterey ridge.”",Karnali Pradesh,Humla/NC,Kharpunath/NC,Changla Himal,"Sp 5000, Au 2500, Wi/Su 1319","Sp 400, Au 200, Wi/Su 100"
GHAN,GHAN,https://nepalhimalpeakprofile.org/ghanyala-hies,Ghanyala Hies,,27.895555555555557,88.08277777777778,6779.0,22142.0,Opened,,,,Province 1,Taplejung/NC,Phaktanglung/NC,Kanchenjunga,Sp 5000 (NRs),Sp 5000 (USD)
GHEN,GHEN,https://nepalhimalpeakprofile.org/ghenye-liru,Ghenye Liru,"Ghenge Liru,Ghenge Lirung,Langtang II",28.247802,85.470848,6571.0,21640.0,Opened,28/05/1963,"Peter Taylor,Pasang Sherpa,Pasang Phutar Sherpa, ",Ghenye Liru part of Langtang sub range is located in Rasuwa District of Central Nepal.,Bagmati Pradesh,Rasuwa,Gosai Kunda,Langtang,Sp 5000 (NRs),Sp 400 (USD)
GHJA,NAYA,https://nepalhimalpeakprofile.org/ghanja-la-chuli,Ghanja La Chuli,Naya Khanga,28.168333333333333,85.55138888888888,5863.0,19236.0,Opened,,,"Ganja La Chuli (5,844 m) is the fabulous looking peak to the south of Kyanjin
Gompa, the destination village of the popular Langtang Trek in the Langtang
National Park.
The normal route to the summit is via the snowy north-east ridge. Much of
the climb is straightforward, but there is one fairly steep section on 40 to 55
degree snow where belaying is necessary.
The route is approached on the trail across the Ganja La, the tricky but
direct pass from Langtang to Helambu. The climb is often incorporated into a
crossing of the pass and can be done with two camps. The first is Ganja La
base camp some 500 meters above Kyanjin Gompa and the second a high
camp at around 4,900 meters. The summit offers sublime views of the peaks
lying along the Langtang Valley and into Tibet.
The accessibility of Langtang from Kathmandu and the number of other,
lower altitude peaks, make Langtang a great choice for a short climbing trip.",Bagmati Pradesh,Rasuwa/Sindhupalchok,Panch Pokhari Thangpal/Gosai,Langtang,Spring 4000 (NRs),Spring 250 (USD)
GHOD,GHOD,https://nepalhimalpeakprofile.org/ghodchadi,Ghodchadi,,27.9477,86.3209,6009.0,19715.0,Proposed to open,,,Ghodchadi is in the Rolwaling Himal mountain range of Nepal Himalayas. Ghodchadi is an open mountain peak for expedition. Ghodchadi is on the boundary of Dolakha and China. Ghodchadi is on the boundary of Bagmati Province and China. Ghodchadi is on the boundary of Gaurishankar gaupalika and China.	Ghodchadi is 2.4km southwest of Gaurishankar and 2.0km southwest from Gauri. Dolma Khang is 3.1km southeast of Ghodchadi.,Bagmati Pradesh,Dolakha/NC,Gaurishankar/NC,Rolwaling,Sp 4000 (NRs),Sp 4000 (USD)
GHUN,GHUN,https://nepalhimalpeakprofile.org/ghustung-north,Ghustung North,,28.68055555555556,83.24722222222222,6529.0,21421.0,Opened,22/10/1962," ,Roberts,Ang Pema Sherpa,Nawang Dorje Sherpa",,Gandaki Pradesh,Myagdi,Dhawalagiri,Dhaulagiri,Sp 5000 (NRs),Sp 400 (USD)
GHUS,GHUS,https://nepalhimalpeakprofile.org/ghustung-south,Ghustung South,,28.672222222222224,83.2461111111111,6465.0,21211.0,Opened,,,,Gandaki Pradesh,Myagdi,Dhawalagiri,Dhaulagiri,Sp 4000 (NRs),Sp 4000 (USD)
GHY1,GHYN,https://nepalhimalpeakprofile.org/ghyun-himal-i,Ghyun Himal I,,29.24416666666667,83.78194444444445,6099.0,20046.0,Opened,,,Ghyun Himal I is the part of Mustang Himal sub range and is located in the Mustang District of Western Nepal.,Gandaki Pradesh,Mustang/NC,Lomanthang/NC,Damodar,Sp 4000 (NRs),Sp 250 (USD)
GHY2,GHY2,https://nepalhimalpeakprofile.org/ghyun-himal-ii,Ghyun Himal II,,29.2405231377,83.7696797425,6029.0,19780.0,Proposed to open,,,,Gandaki Pradesh,Mustang/NC,Lomanthang/NC,Mustang Himal,Sp 4000 (NRs),Sp 250 (USD)
GHY3,GHY3,https://nepalhimalpeakprofile.org/ghyun-himal-iii,Ghyun Himal III,,29.2472434193,83.772795593,6027.0,19774.0,Proposed to open,,,,Gandaki Pradesh,Mustang/NC,Lomanthang/NC,Mustang Himal,Sp 4000 (NRs),Sp 250 (USD)
GHYM,GHYM,,Ghyuthumba Main,"Gutumpa,Pasang Peak",,,,,,,,,,,,,,
GHYP,GHYP,https://nepalhimalpeakprofile.org/ghyambu-peak,Ghyambu Peak,,29.1902713569,83.5720495208,5870.0,19258.0,Proposed to open,,,,Karnali Pradesh,Dolpa/NC,Chharka Tongsong/NC,Gautam,Sp 4000 (NRs),Sp 250 (USD)
GIME,GIME,,Gimmigela Chuli East,"Twins, Gimmigela II, Gimigela II",27.746132,88.178691,,,Opened,,,,Province 1,Taplejung/NI,Phaktanglung/NI,Kanchenjunga,"Sp 6000, Au 3000, Wi/Su 1500","Sp 500, Au 250, Wi/Su 125"
GIMM,GIMM,,Gimmigela Chuli,"Twins, Gimmigela I, Gimigela I",27.740102,88.158563,,,Opened,29/10/1994 AD(12/07/2051 BS),"Shigeru Yokokuwa,Dawa Wangchuk Sherpa,Pasang Gyalzen Sherpa,Pasang Tenzing Sherpa,",,Province 1,Taplejung/NI,Phaktanglung/NI,Kanchenjunga,"Sp 6000, Au 3000, Wi/Su 1500","Sp 500, Au 250, Wi/Su 125"
GNG1,GNG1,https://nepalhimalpeakprofile.org/ganglung-gangri-i,Ganglung Gangri I,,30.3427,82.0132,6256.0,20525.0,Proposed to open,,,,Karnali Pradesh,Humla/NC,Simikot/NC,Chandi,,
GOJN,GOJN,,Gojung,Mugu Chuli,29.8477,82.6225,,,,,,,,,,,,
GORH,GORH,https://nepalhimalpeakprofile.org/gorakha-himal,Gorakh Himal,Other name,30.065,82.23305555555555,6092.0,20334.0,Opened,,,,Karnali Pradesh,Humla/NC,Chankheli/NC,Gorakh,Sp 4000 (NRs),Sp 250 (USD)
GORK,GORK,https://nepalhimalpeakprofile.org/gorakh-khang,Gorakh Khang,,30.04416666666667,82.33749999999999,6254.0,20518.0,Opened,,,,Karnali Pradesh,Humla/NC,Chankheli/NC,Gorakh Himal,Sp 4000 (NRs),Sp 250 (USD)
GURA,GURA,https://nepalhimalpeakprofile.org/gurans,Guras,,30.04305555555556,81.10888888888888,6744.0,22126.0,Opened,,,,Sudhurpashchim Pradesh,Bajhang/NC,Kanda/NC,Gurans,Sp 5000 (NRs),Sp 400 (USD)
GURJ,GURJ,https://nepalhimalpeakprofile.org/gurja-himal,Gurja Himal,,28.67388888888889,83.27777777777777,7193.0,23599.0,Opened,01/11/1969,"Tomokuni Saeki,Lhakpa Tenzing Sherpa","It is named after the nearby village of Gurja in mid west Nepal. Gurja himal, located at the lap of south face of Dhaulagiri Himal is 21.3km west of Dhaulagiri I. The Gurja Himal is separated by a 6010 meter high pass from the Ghustang (6529m) located at 3.0 km. to the west.",Gandaki Pradesh,Myagdi,Dhawalagiri,Dhaulagiri,Rs (NRs),US (USD)
GURK,GURK,https://nepalhimalpeakprofile.org/gurkarpo-ri,Gurkarpo Ri,,28.094444444444445,86.75083333333333,6891.0,22602.0,Opened,01/11/2007,"Paulo Grobel, ,Olivier Dupuy,Marc Kia,Jean Francois Males",,Bagmati Pradesh,Rasuwa/NC,Gosai Kunda/NC,Jugal,Spring 5000 (NRs),Spring 400 (USD)
GYAC,GYAC,https://nepalhimalpeakprofile.org/gyachung-khang,Gyachung Khang,,28.094444444444445,86.75083333333333,7952.0,26089.0,Opened,10/04/1964,"Yukihiko Kato,Kiyoto Sakaizawa,Pasang Phutar Sherpa, ","Gyachung Khang, part of Mahalangur range is located in the Solukhumbu District of Eastern Nepal.",Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Khumbu,Spring 8000 (NRs),Spring 600 (USD)
GYAJ,GYAJ,https://nepalhimalpeakprofile.org/gyajikang,Gyajikang,,28.73305555555556,84.37416666666665,7038.0,23090.0,Opened,07/10/1994,"Toshisada Hasegawa,Yousuke Kokubo,Osamu Tanabe,Ram Kaji Sivakoti,Pasang Tshering Sherpa,Dambar Bahadur Gurung","Mt. Gyajikang lies in Peri himal north east of Manang. It lies in Nar Phu valley, a part of Manang district. For the approach to the base camp, one must follow the popular Annapurna circuit trekking route from Besi Shahar to Koto and then precede trekking route to Nar and Phu.",Gandaki Pradesh,Manang,Nar Phu,Peri,Rs (NRs), (USD)
GYLA,GYLA,https://nepalhimalpeakprofile.org/gyala,Gyala,,28.751944444444444,84.55888888888889,6363.0,19596.0,Opened,,,Gyala is part of Manaslu sub range of the Nepalese Himalayas which is located in the Gorkha District of Western Nepal.,Gandaki Pradesh,Gorkha/NC,Chum Nubri/NC,Gyala,Spring 4000 (NRs),Spring 250 (USD)
GYLZ,GYLZ,https://nepalhimalpeakprofile.org/gyalzen-peak,Gyalzen Peak,"Leonpo Gang East,Gyalgen",28.183888888888887,85.84166666666667,6151.0,20180.0,Opened,11/05/2023,"Monica Jackson,Elizabeth Stark,Mingma Gyalgen Sherpa,Ang Temba Sherpa",Gyalzen Peak with elevation of 6151 meters is a peak in Jugal mountain range. Gyalzen is on the boundary of Bagmati Province and China. Gyalze Peak is located in Sindhupalchok district of Nepal and is in Jugal Gaupalika. Gyalzen peak is 6.8km east of Dorje Lyakpa of height 6966 meters. Gyalzen is 5.7km norh west of Yagri peak.,Bagmati Pradesh,Sindhupalchok/NC,Jugal/NC,Jugal,NRs 4000 in spring (NRs),USD 250 in spring (USD)
HARK,PK29,https://nepalhimalpeakprofile.org/harka-gurung-chuli,Dr. Harka Gurung Chuli,"Ngadi Chuli,Peak 29 Dakura",28.50333333333333,84.56861111111111,7871.0,25823.0,Opened,08/05/1979,"Ryszard Gajewski,Maciej Pawlikowski","Harka Gurung Chuli, also known as Peak 29, Dakura, is part of Manaslu sub-range of the Nepalese Himalayas and is located in the Manang and Gorkha District of Western Nepal.",Gandaki Pradesh,Manang/Gorkha,Nashong/Chum,Mansiri,Spring 8000 (NRs),Spring 600 (USD)
HILL,NGO3,https://nepalhimalpeakprofile.org/hillary-peak,Hillary Peak,,28.10666666666667,86.71611111111112,7681.0,25200.0,Opened,,,Hillary Peak is the name given in honor of first climber of Mt. Everest Edmund Hillary. It was recommended by the Nepalese government to rename two peaks after the name of Hillary and Tenzing as a part of new opened summit to climb in 2014.,Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu,Mahalangur,Rs (NRs), (USD)
HIME,HIME,https://nepalhimalpeakprofile.org/himal-chuli-east,Himal Chuli East,Himal Chuli Main,28.43694444444445,84.6413888888889,7893.0,25896.0,Opened,24/05/1960,"Masahiro Harada,Hisashi Tanabe",Himal Chuli East part of Manaslu sub range is located in the Lamjung and Gorkha District of Western Nepal.,Gandaki Pradesh,Lamjung/Gorkha,Dordi/Chum,Mansiri,Spring 8000 (NRs),Spring 600 (USD)
HIMG,HIMJ,https://nepalhimalpeakprofile.org/himjung,Himlung,Nemjung Goth,28.7568,84.418,7092.0,23267.0,Opened,12/10/2012,"Kim,Ho,An,Young","Himjung is located north of Annapurna and Manaslu in the Peri Himal range, and is nestled between Himlung and Nemjung peaks, surrounded by numerous 6000 meter peaks with large glaciers and difficult approaches.",Gandaki Pradesh,Manang,Nashong/Nar,Peri,Rs (NRs), (USD)
HIMN,HIMN,https://nepalhimalpeakprofile.org/himal-chuli-north,Himal Chuli North,,28.449166666666667,84.60638888888889,7331.0,24052.0,Opened,27/10/1985,"Lee,Hong,Ang Pasang Sherpa,Jangbu Sherpa,Lhakpa Norbu Sherpa,Pasang Dawa Sherpa","Himal Chuli North, part of Manaslu sub range is located in the Lamjung and Gorkha District of Western Nepal",Gandaki Pradesh,Lamjung/Gorkha,Marsyangdi/Chum,Mansiri,Spring 6000 (NRs),Spring 500 (USD)
HIMW,HIMW,https://nepalhimalpeakprofile.org/himal-chuli-west,Himal Chuli West,,28.43555555555556,80.61888888888888,7540.0,24737.0,Opened,07/05/1978,"Yoshio Ogata,Kazuhiro Sugeno",Himal Chuli West is part of Manaslu sub-range located in the Lamjung district of Western Nepal.,Gandaki Pradesh,Lamjung,Marsyangdi/Dordi,Mansiri,Spring 8000 (NRs),Spring 600 (USD)
HIUC,HIUP,https://nepalhimalpeakprofile.org/hiun-chuli,Hiun Chuli,Patal Hiunchuli,28.510277777777777,83.85194444444444,6434.0,21109.0,Opened,09/10/1971,"Craig Anderson,Peter Cross,Jim Richards,John Skow,Lane Smith","Hiunchuli (6,441 m) forms a formidable south-facing wall together with
Annapurna South. It has a reputation for being prone to avalanche, rock fall
and route finding difficulty – there is no obvious ‘standard’ line up and is best
tackled in true expedition style.
Even though it offers new route potential, it has received little attention from
mountaineers and is rarely climbed. The most common approaches are via
the Southeast Face or Northwest Face though the latter is seldom attempted.
Hiunchuli’s eastern face overlooks the Modi Khola and guards the entrance
to the Annapurna Sanctuary. An American Peace Corps Expedition first
climbed Hiunchuli in October 1971 via the Southeast Face.
As access is easy and altitude limited, the climb offers excellent Himalayan
mountaineering with an itinerary of just less than three weeks.",Gandaki Pradesh,Kaski,Annapurna,Annapurna,Spring 4000 (NRs),Spring 250 (USD)
HMLE,HMLE,https://nepalhimalpeakprofile.org/himlung-east,Himlung East,,28.769166666666667,84.4388888888889,6932.0,22743.0,Opened,,,Himlung East part of Peri sub range is located in the Manang District of Western Nepal.,Gandaki Pradesh,Manang/NC,Nar Phu/Nashong,Peri,Spring 5000 (NRs),Spring 400 (USD)
HMLH,HIML,https://nepalhimalpeakprofile.org/himlung-himal,Himlung Himal,,28.771666666666665,84.42472222222223,7126.0,23379.0,Opened,03/10/1992,"Osamu Hanai,Akio Koizumi,Nima Sherpa","The Himlung lies close to the Tibetan border in the Manaslu region north east of the Annapurna range. Nepal government opened the region in 1992. Expedition for Himlung himal follows round Annapurna route to Koto and from Koto towards Nar – Phu gaon. The route passes through high peaks and passes, remote villages, narrow gullies, forests, rocks, springs, Gompas, and unique cultural settlements. Since the area is remote and untouched very few tourists have visited the region.",Gandaki Pradesh,Manang,Nashong/Nar,Peri,Rs (NRs),US (USD)
HNCH,HCHI,https://nepalhimalpeakprofile.org/hunchhi,Hunchhi,"Chakung,Hungchhi,Gyubanare Kang,Gyuba Tshomotse",28.034722222222225,86.7611111111111,7029.0,23084.0,Opened,19/04/2003,"Katsuo Fukuhara,Tadashi Morita,Kanji Shimizu,Durga Rai,Hit Bahadur Tamang,Ram Kaji Tamang,Tul Bahadur Tamang",Hunchhi is part of Mahalangur range located in the Solukhumbu district of Eastern Nepal.,Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Mahalangur,Spring 6000 (NRs),Spring 500 (USD)
HNGU,HONK,https://nepalhimalpeakprofile.org/hongu,Hongu,"Sura Peak,Hongku,Pyramid Peak",27.82555555555556,86.97944444444444,6764.0,22192.0,Opened,,,Hongu is part of Mahalangur range located in Solukhumbu and Sankhuwasabha District of Eastern Nepal.,Province 1,Solukhumbu/Sankhuwasabha,Makalu/Mahakulung,Mahalangur,Spring 5000 (NRs),Spring 400 (USD)
HONG,HONG,https://nepalhimalpeakprofile.org/hongde,Hongde,Hangde,28.843055555555555,83.49916666666667,6556.0,21509.0,Opened,08/05/1962,"Shijiro Ishizaka,Zenkichi Hirayama,Takashi Miyahara,Ang Dawa Sherpa,Ang Temba Sherpa",,Gandaki Pradesh,Dolpa/Mustang,Chharka Tongsong/Barhagau,Damodar,Spring 5000 (NRs),Spring 400 (USD)
HUGO,HUGO,https://nepalhimalpeakprofile.org/hulang-go,Hulang Go,,28.872777777777777,84.34555555555555,6687.0,21939.0,Opened,,,Hulang Go peak is part of Lugula Himal located in the manang district of western Nepal.,Gandaki Pradesh,Manang/NC,Nar Phu/NC,Peri,Spring 5000 (NRs),Spring 400 (USD)
HUNK,HNKU,https://nepalhimalpeakprofile.org/hunku-chuli,Hunku Chuli,,27.8175,87.01194444444444,6119.0,22418.0,Opened,11/11/2012,"Nick Bullock,Andy Houseman","Hunku Chuli, part of Mahalangur range of the Nepalese Himalayas is located in the Solukhumbu and Sankhuwasabha district of Eastern Nepal.",Province 1,Solukhumbu/Sankhuwasabha,,Mahalangur,Spring 5000 (NRs),Spring 400 (USD)
IMJA,IMJA,https://nepalhimalpeakprofile.org/imjatse,Imja Tse,Island Peak,27.92055555555556,86.93777777777778,6165.0,20226.0,Opened,15/01/2023,"Hansrudolf Von Gunten,2 unknown Sherpas","Imja Tse, also known as the Island Peak, is located in the Sagarmatha National Park of the Himalayas in the Eastern Development Regions of Nepal. The name Island Peak was named in 1953 by members of British Mount Everest expedition as it appeared like an island in the sea of ice when viewed from Dingboche. The peak was renamed Imja Tse in 1983, however, the initial name “Island Peak” has remained popular among the summiteers.",Province 1,Solukhumbu,Khumbu Pasang Lhamu,Khumbu,Rs (NRs), (USD)
JAGD,JAGD,,Jagdula,"Jagdula Lek,Jagdulā Lek",29.301735,82.602699,,,,,,,Karnali Pradesh,Dolpa,Jagdulla,Kanjiroba,,
JANE,JANE,,Jannu East,Khumbhakarna East,27.68798,88.058943,,,,,,,,,,,,
JANK,JANK,https://nepalhimalpeakprofile.org/janak-chuli,Janak Chuli,,27.871666666666663,88.09333333333333,7090.0,23110.0,Opened,06/05/2006,"Andrej Stremfelj,Rok Zalokar",,Province 1,Taplejung/NC,Phaktanglung/NC,Kanchenjunga,Spring  6000 (NRs),Spring 500 (USD)
JARK,JARK,https://nepalhimalpeakprofile.org/jarkya-peak,Jarkya Peak,,28.74194444444445,84.52694444444444,6473.0,21237.0,Opened,,,Jarkya Peak is part of Manaslu sub range which is located in the gorkha district of western Nepal.,Gandaki Pradesh,Gorkha/NC,Chum Nubri/NC,Peri,Spring 4000 (NRs),Spring 250 (USD)
JASG,JASG,https://nepalhimalpeakprofile.org/jasemba-go,Jasemba Go,,28.08722222222222,86.60499999999999,6734.0,22093.0,Opened,,,Jasemba Go is part of the Mahalangur range of the Nepalese Himalayas which is located in the Solukhumbu District of Eastern Nepal.,Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Mahalangur,Spring 5000 (NRs),Spring 400 (USD)
