ID,URL,NAME,ALTERNATE_NAMES,LAT,LON,ELEVATION_M,ELEVATION_FT,STATUS,FIRST_ASCENT_ON,FIRST_ASCENT_BY,DESCRIPTION,PROVINCE,DISTRICT,MUNICIPALITY,RANGE,NEPALESE_FEES,FOREIGNER_FEES
GAN3,https://nepalhimalpeakprofile.org/ganesh-iii,Ganesh III,"Salasungo,Kang Lombo",28.335277777777776,85.12472222222222,7110.0,23136.0,Opened,19/10/1979,"Hideo Ogura,Pemba Tshering Sherpa,Dawa Norbu Sherpa",Ganesh III is the part of sub range Ganesh of Nepal Himalayan range. It is also known as Salsungo. It lies between the Budhi Gandaki and Trisuli Gandaki valleys about 70 km northwest from Kathmandu Valley.,Bagmati Pradesh,Dhading/Rasuwa,Parbati Kunda/Ruby,Ganesh,Rs (NRs), (USD)
NAM3,https://nepalhimalpeakprofile.org/nampa-chuli,Nampa Chuli,Nampa III,29.980833333333333,81.01694444444445,7110.0,21690.0,Opened,,,,Sudhurpashchim Pradesh,Darchula/Bajhang,Byas/Api,Gurans,Sp 5000 (NRs),Sp 400 (USD)
APIW,https://nepalhimalpeakprofile.org/api-west,Api West,,30.001666666666665,80.92555555555556,7100.0,23215.0,Opened,,,,Sudhurpashchim Pradesh,Darchula,Byas,Byas,Spring 6000 (NRs),Spring 500 (USD)
HIMG,https://nepalhimalpeakprofile.org/himjung,Himlung,Nemjung Goth,28.7568,84.418,7092.0,23267.0,Opened,12/10/2012,"Kim,Ho,An,Young","Himjung is located north of Annapurna and Manaslu in the Peri Himal range, and is nestled between Himlung and Nemjung peaks, surrounded by numerous 6000 meter peaks with large glaciers and difficult approaches.",Gandaki Pradesh,Manang,Nashong/Nar,Peri,Rs (NRs), (USD)
JANK,https://nepalhimalpeakprofile.org/janak-chuli,Janak Chuli,,27.871666666666666,88.09333333333333,7090.0,23110.0,Opened,06/05/2006,"Andrej Stremfelj,Rok Zalokar",,Province 1,Taplejung/NC,Phaktanglung/NC,Kanchenjunga,Spring  6000 (NRs),Spring 500 (USD)
SPH1,https://nepalhimalpeakprofile.org/sharphu-i,Sharphu I,"Sharphu,Tanga",27.752222222222223,87.91972222222223,7070.0,21106.0,Opened,21/10/1963,"Takao Ishinabe,Chiharu Miyamoto,Yuzo Tatsumi",,Province 1,Taplejung,Phaktanglung,Kanchenjunga,Spring 4000 (NRs),Spring 250 (USD)
NILN,https://nepalhimalpeakprofile.org/nilgiri-north,Nilgiri North,,28.69,83.74638888888889,7061.0,23166.0,Opened,19/10/1962,"Lionel Terray, ,Van Lookern Campagne, ,Van Lookern Campagne, ,Van Lookern Campagne,Wangdi Sherpa",Nilgiri North is a part of Nilgiri sub range .,Gandaki Pradesh,Mustang/Myagdi,Gharpajhong/Annapurna,Nilgiri,Rs (NRs), (USD)
THUL,https://nepalhimalpeakprofile.org/thulagi-peak,Thulagi Peak,Mansiri Himal,28.52777777777778,84.52277777777778,7059.0,23159.0,Opened,,,Thulagi Peak which lies in the Manaslu sub range of the Nepalese Himalayas is located in the Gorkha district of Western Nepal.,Gandaki Pradesh,Manang,Nashong,Mansiri,Spring 6000 (NRs),Spring 500 (USD)
GAN4,https://nepalhimalpeakprofile.org/ganesh-iv,Ganesh IV,Pabil,28.345024,85.079139,7052.0,23307.0,Opened,20/10/1978,"T Tomita,H Yoshio,K Aoyagi,M Hashimoto,Y Hashimoto,Y Okuma,T Shimoji,T Suzuki,I Yasuda,Yogendra Thapa,Kamal Bhandari,Mingma Tenzing Sherpa,Sonan Wolang Sherpa",,Bagmati Pradesh,Gorkha/Dhading,Dharche/Ruby,Ganesh,Spring 6000 (NRs),Spring 500 (USD)
GYAJ,https://nepalhimalpeakprofile.org/gyajikang,Gyajikang,,28.733055555555556,84.37416666666665,7038.0,23090.0,Opened,07/10/1994,"Toshisada Hasegawa,Yousuke Kokubo,Osamu Tanabe,Ram Kaji Sivakoti,Pasang Tshering Sherpa,Dambar Bahadur Gurung","Mt. Gyajikang lies in Peri himal north east of Manang. It lies in Nar Phu valley, a part of Manang district. For the approach to the base camp, one must follow the popular Annapurna circuit trekking route from Besi Shahar to Koto and then precede trekking route to Nar and Phu.",Gandaki Pradesh,Manang,Nar Phu,Peri,Rs (NRs), (USD)
SAIP,https://nepalhimalpeakprofile.org/saipal,Saipal,,29.887777777777778,81.49472222222222,7031.0,23064.0,Opened,21/10/1963,"Katsuotoshi Hirabayashi,Pasang Phutar Sherpa, ",,Karnali Pradesh,Humla/Bajhang,Namkha/Kanda,Gurans,Spring 6000 (NRs),Spring 500 (USD)
HNCH,https://nepalhimalpeakprofile.org/hunchhi,Hunchhi,"Chakung,Hungchhi,Gyubanare Kang,Gyuba Tshomotse",28.034722222222225,86.7611111111111,7029.0,23084.0,Opened,19/04/2003,"Katsuo Fukuhara,Tadashi Morita,Kanji Shimizu,Durga Rai,Hit Bahadur Tamang,Ram Kaji Tamang,Tul Bahadur Tamang",Hunchhi is part of Mahalangur range located in the Solukhumbu district of Eastern Nepal.,Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Mahalangur,Spring 6000 (NRs),Spring 500 (USD)
NGAP,https://nepalhimalpeakprofile.org/nepal-gyap-peak,Nepal Gyap Peak,,27.7464,88.1808,7007.0,22989.0,Opened,,,,Province 1,Taplejung/NI,Phaktanglung/NI,Kanchenjunga,Spring 6000 (NRs),Spring 500 (USD)
GAN5,https://nepalhimalpeakprofile.org/ganesh-v,Ganesh V,Lapsang Karbo,28.331944444444446,85.16083333333334,6986.0,22218.0,Opened,21/04/1980,"Tatsumi Sasaki,Akihiko Komori,Lhakpa Dorje Sherpa,Nima Tenzing Sherpa,Nima Nuru Sherpa",Ganesh V is the part of Ganesh sub range which is located in the Dhading and Rasuwa District of Central Nepal.,Bagmati Pradesh,Rasuwa/NC,Parbati Kunda/NC,Ganesh,Spring 5000 (NRs),Spring 400 (USD)
LAMJ,https://nepalhimalpeakprofile.org/lamjung-himal,Lamjung Himal,,28.489166666666666,84.19111111111111,6983.0,22910.0,Opened,25/04/1974,"Derrick Chamberlain,Phillip Neame",,Gandaki Pradesh,Kaski/Manang,Madi/Chame,Annapurna,Sp 5000 (NRs),Sp 400 (USD)
GAUR,https://nepalhimalpeakprofile.org/gauri,Gauri,,27.93722222222222,86.35027777777778,6983.0,22910.0,Opened,,,,Bagmati Pradesh,Dolakha/NC,Gaurishankar/NC,Rolwaling,Spring 5000 (NRs),Spring 400 (USD)
KAGU,https://nepalhimalpeakprofile.org/kang-garu,Kang Garu,Naurgaon,28.65861111111111,84.30416666666666,6981.0,22903.0,Opened,,,Kang Garu part of Peri sub range of the Nepalese Himalayas is located in the Manang district of Western Nepal.,Gandaki Pradesh,Manang,Nashong/Nar,Peri,Sp 5000 (NRs),Sp 400 (USD)
LEOG,https://nepalhimalpeakprofile.org/leonpo-gang,Leonpo Gang,"Dorle Pahad,Longpo Gang,Big White Peak",28.195555555555554,85.80194444444444,6979.0,22897.0,Opened,03/05/1962,"Tadashi Morita,Kazunari Yasuhisa",,Bagmati Pradesh,Rasuwa/Sindhupalchok,Gosai Kunda/Jugal,Jugal,Spring 5000 (NRs),Spring 400 (USD)
DORJ,https://nepalhimalpeakprofile.org/dorje-lyakpa,Dorje Lyakpa,Dorje Lhakpa,28.17388888888889,85.78111111111112,6966.0,22854.0,Opened,18/10/1981,"Kunio Kataoka,Makoto Anbe,Kazunari Murakami,Eiichi Shingyoji,Pemba Tsering Sherpa","Dorje Lyakpa is in Jugal Mountain Range of Nepal Himalaya, lies on a ridge going south west from the highest peak of Jugal Mountain Range at 3.4km distance. Dorje Lyakpa is 6.8km west from Gyalzen Peak. Dorje Lyakpa is 7.4km east of Urkenmang. Dorje Lyakpa located in Bagmati  Pronince and on the boundary of Rasuwa and Sindhupalchok districts of Nepal. Dorje Lyakpa has a pyramid shaped figure and is visible from Kathmandu valley.",Bagmati Pradesh,Rasuwa/Sindhupalchok,Jugal/Gosai,Jugal,NRs 5000 in spring (NRs),USD 400 in spring (USD)
LNPO,https://nepalhimalpeakprofile.org/langpo-peak,Langpo Peak,"Langlo,Longpo",27.853333333333335,88.19888888888889,6965.0,22851.0,Opened,,,,,,,,,
CHAB,https://nepalhimalpeakprofile.org/chabuk,Chabuk,Tsajirip,27.885833333333334,87.9875,6960.0,22159.0,Opened,,,"Chabuk peak is located in Janak mountain range of Nepal Himalaya. Chabuk peak is on the boundary of Province I and China. Chabuk peak is on the boundary of Taplejung district of Nepal and China, it lies on the boundary of Phaktanglung gaupalika and China. Chabuk peak is 4.2km west of Kyabura peak and 2.6km east of Ohmi Khang peak. Chabuk is 2.5km north of Pandra peak.",,Taplejung/NC,Phaktanglung/NC,Kanchenjunga,Sp 5000 (NRs),Sp 400 (USD)
ANID,https://nepalhimalpeakprofile.org/anidesh-chuli,Anidesh Chuli (White Wave),White Wave,27.71861111111111,88.07083333333333,6960.0,22336.0,Opened,,,"Anidesh Chuli is situated in the Kanchenjunga mountain range of Eastern Nepal bordering Sikkim (India). Anidesh Chuli (White Wave) is part of the western edge of the Kanchenjunga massif. Anidesh Chuli is a beautiful icy peak on the side ridge separating the Kumbhakarna Glacier and Ramtang Glacier. Anidesh Chuli has an altitude of 6808 meters. Anidesha Chuli is the Nepali name of this peak, and previously, Anidesh Chuli was known as White Wave. Anidesh Chuli is 4.6km west of Khangbachen peak and 4.5km south west of Ramtang peak. Kumbhakarna peak is 4.8 km south west of Anidesh Chuli.",Province 1,Taplejung,Phaktanglung,Kanchenjunga,Spring 5000 (NRs),Spring 400 (USD)
NUMB,https://nepalhimalpeakprofile.org/numbur,Numbur,,27.7544,86.575,6957.0,22824.0,Opened,29/05/1963,"Hiroshi Matsuo,Mingma Tsering Sherpa",,Province 1,Ramechhap/Solukhumbu,Solu Dudh KundaNP/Khumbu,Rolwaling,Spring  5000 (NRs),Spring  400 (USD)
BURK,https://nepalhimalpeakprofile.org/burke-khang,Burke Khang,,28.036944444444448,86.7739,6942.0,22785.0,Opened,,,"Burke Khang(“Khang” meaning mountain) located in Solukhumbhu region lies in between the borders of Tibet and Nepal and sits between Mount Everest and Cho Oyu, two of the highest mountains in the world.The name Burke is named after an oldest American climber Bill Burke. Bill Burke, an oldest American to summit Mt. Everest at the age of 72, is a retired corporate lawyer. After six attempts to Everest with two summits from either side, Nepal had become a second home to this retired lawyer. By then he had close relationship with many Sherpas and Ministry of Tourism. When Nepal opened 104 new mountains for climbing in 2014, they named one of the mountains after their western friend Burke, as a token of appreciation for contribution he has made in promoting mountain tourism in Nepal.",Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/BC,Mahalangur,Sp 5000 (NRs),Sp 400 (USD)
NILC,https://nepalhimalpeakprofile.org/nilgiri-central,Nilgiri Central,,28.678333333333335,86.70861111111111,6940.0,22769.0,Opened,30/04/1979,"Kohichi Sakata,Yasuo Tsuda",Nilgiri Central is a part of Nilgiri sub range.,Gandaki Pradesh,Mustang/Myagdi,Thasang/Gharpajhong,Nilgiri,Rs (NRs), (USD)
TENR,https://nepalhimalpeakprofile.org/tengi-ragi-tau,Tengi Ragi Tau,"Agole,Angole",27.857222222222223,86.55638888888889,6938.0,22762.0,Opened,04/12/2002,"Koichi Ezaki  (Japan),Ruchia Takahashi  (Japan),Pasang Tamang (Nepal),Tul Bahadur Tamang  (Nepal)",,Province 1,Dolakha/Solukhumbu,Khumbu Pasang Lhamu/Gaurishankar,Mahalangur,Spring 5000 (NRs),Spring 400 (USD)
CHOR,https://nepalhimalpeakprofile.org/chota-ri,Chota Ri,Kali Himal,27.877222222222223,86.97555555555556,6934.0,22916.0,Opened,,,"Chota, also known as Kali Himal, is located in the Eastern Development Region of Nepal and is part of the Mahalangur Range of the Nepalese Himalayas.",Province 1,Solukhumbu/Sankhuwasabha,Makalu/Mahakulung,Khumbu Himal,Sp 5000 (NRs),Sp 400 (USD)
HMLE,https://nepalhimalpeakprofile.org/himlung-east,Himlung East,,28.769166666666667,84.4388888888889,6932.0,22743.0,Opened,,,Himlung East part of Peri sub range is located in the Manang District of Western Nepal.,Gandaki Pradesh,Manang/NC,Nar Phu/Nashong,Peri,Spring 5000 (NRs),Spring 400 (USD)
LOS1,https://nepalhimalpeakprofile.org/loshar-i,Loshar I,Lashar I,27.89611111111111,88.05666666666666,6930.0,22464.0,Opened,12/10/2005,"Andrej Stremfelj,Miha Habjan",,Province 1,Taplejung/NC,Phaktanglung/NC,Kanchenjunga,Spring 5000 (NRs),Spring 400 (USD)
TUKU,https://nepalhimalpeakprofile.org/tukuche-peak,Tukuche Peak,,28.746111111111112,83.56083333333333,6920.0,22703.0,Opened,30/04/1970,"Hirosuke Kikuchi,Eiho Otani,Takao Yonemoto",,Gandaki Pradesh,Mustang/Myagdi,Thasang/Dhawalagiri,Dhaulagiri,Spring 5000 (NRs),Spring 400 (USD)
RON1,https://nepalhimalpeakprofile.org/rongshar-ri-i,Rongshar Ri I,"Lunag Ri,Lunag I",28.051424,86.549701,6900.0,22638.0,Opened,,,Rongshar Ri I is part of the Mahalangur range of the Nepalese Himalayas and is located in the Solukhumbu district of Eastern Nepal.,Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Mahalangur,Spring 5000 (NRs),Spring 400 (USD)
LUGU,https://nepalhimalpeakprofile.org/lugula,Lugula,,28.89611111111111,84.26166666666667,6899.0,22634.0,Opened,02/11/2010,Renald Guillaune,Lugula is a sub-range of the Nepalese Himalayas which is located in the Manang district of Western Nepal.,Gandaki Pradesh,Manang/NC,Nar Phu/NC,Lugula,Spring 5000 (NRs),Spring 400 (USD)
CHAG,https://nepalhimalpeakprofile.org/chago,Chago,,27.926111111111112,87.05638888888889,6893.0,22615.0,Opened,29/05/1954,"Michael Ball,Urkien Sherpa",Chago located in Mahalangur range of the Nepalese Himalayas is situated in the Sankhuwasabha district of Province I of Nepal.,Province 1,Sankhuwasabha/NC,Makalu/NC,Mahalangur,Sp 5000 (NRs),Sp 400 (USD)
GURK,https://nepalhimalpeakprofile.org/gurkarpo-ri,Gurkarpo Ri,,28.094444444444445,86.75083333333333,6891.0,22602.0,Opened,01/11/2007,"Paulo Grobel, ,Olivier Dupuy,Marc Kia,Jean Francois Males",,Bagmati Pradesh,Rasuwa/NC,Gosai Kunda/NC,Jugal,Spring 5000 (NRs),Spring 400 (USD)
PANB,https://nepalhimalpeakprofile.org/panbari,Panbari,Cho Himal,28.71833333333333,84.48388888888888,6887.0,22654.0,Opened,29/09/2006,"Yoshimi Kato,Gakuto Komiya,Sayaka Koyama,Kenro Nakajima,Yosuke Urabe",Panbari Himal is located in the Manaslu sub range of the Nepalese Himalayas. It forms the highest elevation at the western end of the ridge which runs north of the Larky La in the west-east direction.,Gandaki Pradesh,Manang/Gorkha,Nashong/Chum,Peri,Rs (NRs), (USD)
SPH3,https://nepalhimalpeakprofile.org/sharphu-iii,Sharphu III,,27.730555555555554,87.90722222222223,6885.0,20407.0,Opened,,,,Province 1,Taplejung,Phaktanglung,Kanchenjunga,Spring 4000 (NRs),Spring 250 (USD)
DROM,https://nepalhimalpeakprofile.org/drohmo,Drohmo,"Jorkiu,Domo,Longridge Peak",27.823888888888888,88.10499999999999,6885.0,22575.0,Opened,,,Drohmo peak is in Janak Mountain Range of Nepal Mountain Range. Drohmo peak is in Phaktanglung gaupalika of Taplejung district. Drohmo peak is an open peak with elevation of 6881 meters. Drohmo peak is 3.5km north east of Tengkoma peak. Drohmo peak is 5.4km south of Janak Chuli situated on Nepal Chinaboundary and Drohmo is 7.8km west of Pathibhara Chuli.,Province 1,Taplejung,Phaktanglung,Kanchenjunga,NRs 5000 in spring season (NRs),USD 400 in spring season (USD)
KJRM,https://nepalhimalpeakprofile.org/kanjiroba-main,Kanjiroba Main,,29.375555555555557,82.64055555555557,6883.0,22582.0,Opened,,,"Kanjiroba is the main peak in Kanjiroba range of the Nepalese Himalayas. It is isolated range adjacent to the Tibetan border, lying in the western part of Nepal.Kanjiroba was not mapped until 1950, when John Baird, a British explorer made the first series expedition to this area.",,Dolpa,Jagdulla,Kanjiroba,Sp 5000 (NRs),Sp 400 (USD)
SAIE,https://nepalhimalpeakprofile.org/saipal-east,Saipal East,,29.891111111111112,81.50055555555555,6882.0,22720.0,Opened,26/10/1990,"Jacques Montaz,Tendi Sherpa",,Karnali Pradesh,Humla/Bajhang,Namkha/Kanda,Saipal,Spring 5000 (NRs),Spring 400 (USD)
PASE,https://nepalhimalpeakprofile.org/pathibhara-south-east,Pathibhara South East,,27.8084,88.188,6868.0,22533.0,Proposed to open,,,,Province 1,Taplejung/NI,Phaktanglung/NI,Kanchenjunga,Spring 5000 (NRs),Spring 400 (USD)
PEMK,https://nepalhimalpeakprofile.org/pem-thang-karpo-ri,Pem Thang Karpo Ri,"Dome Blanc,Bhemdang,Kan Karmo",28.249166666666667,85.75055555555555,6865.0,22523.0,Opened,14/05/1955,"Raymond Lambert,Ang Norbu Sherpa,Kami Tshering Sherpa,Pasang Sherpa,Pemba Gyaltzen Sherpa",,Bagmati Pradesh,Rasuwa/NC,Gosai Kunda/NC,Langtang,Spring 5000 (NRs),Spring 400 (USD)
YNGS,https://nepalhimalpeakprofile.org/yangra-south,Yangra South,,28.34638888888889,85.11,6863.0,22556.0,Opened,,,Yangra South which lies in the Ganesh sub range of the Nepalese Himalayas is located in the Gorkha and Dhading district of Western Nepal.,Bagmati Pradesh,Gorkha/Dhading,Dharche/Ruby,Ganesh,Spring 5000 (NRs),Spring 400 (USD)
NUPL,https://nepalhimalpeakprofile.org/nupla-khang,Nupla Khang,,28.074166666666667,86.76694444444445,6861.0,22510.0,Opened,02/11/2018,"Garrett Madison,Ingvild Marie Settemsdel,Joshua Joseph Miller,Sidney Pattison,Kristin Ann Bennett,Ben Veres,Aang Phurba Sherpa,Pasdawa Sherpa,Kam Dorjee Sherpa,Tashi Sherpa,Lakpa Dendi and Pemba Tenzing  ",Nupla Khang located in the Mahalangur range lies along the border of Nepal and China. It is situated in between Cho Oyu in the east and Everest in the west.,Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Mahalangur,Rs (NRs), (USD)
LOS2,https://nepalhimalpeakprofile.org/loshar-ii,Loshar II,Lashar II,27.88611111111111,88.06694444444445,6860.0,22329.0,Opened,,,,Province 1,Taplejung/NC,Phaktanglung/NC,Kanchenjunga,Spring 5000 (NRs),Spring 400 (USD)
KNTH,https://nepalhimalpeakprofile.org/kanti-himal,Kanti Himal,"Kubi Kangri,Kaqur Kangri,Ronglai Kangri",29.76638888888889,82.75361111111111,6859.0,22503.0,Opened,24/09/2002,"Toyoji Wada,Katsumi Nishida,Atsushi Senda,Hyosuke Tsuboi,Yusuke Ueda,Ang Mingm Sherpa,Karchen Dawa Sherpa,Nga Dorje Sherpa",Kanti Himal is located at the north of Mugu Village of Western Nepal.,Karnali Pradesh,Mugu/NC,Mugu Makarmarong/NC,Kanti Himal,Rs (NRs), (USD)
CHUM,https://nepalhimalpeakprofile.org/chumbu,Chumbu,,28.01888888888889,86.7925,6859.0,22503.0,Opened,,,Chumbu is located few hundred meters south of Tibetan border with Nepal.,Province 1,Solukhumbu,Khumbu Pasang Lhamu,Mahalangur,Sp 5000 (NRs),Sp 400 (USD)
KJRN,https://nepalhimalpeakprofile.org/kanjiroba-north,Kanjiroba North,,29.385033,82.641918,6858.0,22500.0,Opened,,,Kanjiroba North which is part of Kanjiraba sub range of the Nepalese Himalayas is located in Mugu and Dolpa district of Mid-Western Nepal.,Karnali Pradesh,Mugu/Dolpa,Jagdulla/Mugu,kanjiroba,Sp 5000 (NRs),Sp 400 (USD)
PANE,https://nepalhimalpeakprofile.org/pathibhara-north-east,Pathibhara North East,,27.8391,88.2043,6857.0,22497.0,Proposed to open,,,,Province 1,Taplejung/NI,Phaktanglung/NI,Kanchenjunga,Spring 5000 (NRs),Spring 400 (USD)
JETH,https://nepalhimalpeakprofile.org/jethi-bahurani-chuli,Jethi Bahurani Chuli,"Jettiborani,Jutibofurani",29.881666666666668,81.0425,6850.0,22474.0,Opened,27/04/1978,"Kazuo Mitsui,Nobuhito Morota,Hideki Yoshida",,Sudhurpashchim Pradesh,Darchula/Bajhang,Api Himal/Kanda,Gurans,Spring  5000 (NRs),Spring 400 (USD)
PAND,https://nepalhimalpeakprofile.org/pandra,Pandra,,27.864444444444445,87.99527777777777,6850.0,21850.0,Opened,16/10/2002,"Allan Christensen,Bo Belvedere Christensen,Jan Mathorne",,Province 1,Taplejung,Phaktanglung,Kanchanjunga,Spring 5000 (NRs),Spring 400 (USD)
AMP1,https://nepalhimalpeakprofile.org/amphu-i,Amphu I,,27.87027777777778,86.95555555555556,6840.0,22113.0,Opened,09/10/2013,"Ahn,Evn,An,Young,Kim,Mi,Oh,Hoon,Korea,Republic of  , ",Amphu I is located in the Mahalangur range of the Nepalese Himalayas.,Province 1,Solukhumbu,Khumbu Pasang Lhamu/Mahakulung,Mahalangur,Spring 5000 (NRs),Spring 400 (USD)
NILS,https://nepalhimalpeakprofile.org/nilgiri-south,Nilgiri South,,28.654722222222222,83.73222222222222,6839.0,22438.0,Opened,10/10/1978,"Kazuo Mitsui,Taichi Fujimatsu,Yoshiaki Kato,Nobuhito Morota,Seiji Tanaka,Hideki Yoshida",Nilgiri South is a part of Nilgiri sub range.,Gandaki Pradesh,Mustang/Myagdi,Thasang/Annapurna,Nilgiri,Rs (NRs), (USD)
CHUN,https://nepalhimalpeakprofile.org/chumbu-north,Chumbu North,,28.0186246681,86.7924789226,6835.0,22425.0,Proposed to open,,,,Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Mahalangur,Sp 5000 (NRs),Sp 400 (USD)
OHMI,https://nepalhimalpeakprofile.org/ohmi-khang,Ohmi Khang,,27.897222222222222,87.96666666666667,6829.0,22405.0,Opened,14/04/1985,"Andre Rieder,Alain Vaucher",,Province 1,Taplejung/NC,Phaktanglung/NC,Janak,Spring 5000 (NRs),Spring 400 (USD)
PAES,https://nepalhimalpeakprofile.org/pathibhara-east,Pathibhara East,Pathibhara Purba,27.825,88.19027777777778,6825.0,22392.0,Opened,15/06/2023,"JK Cooke,Frederick S Chapman,John B Harrison",,Province 1,Taplejung/NI,Phaktanglung/NI,Kanchenjunga,Spring 5000 (NRs),Spring 400 (USD)
CHEO,https://nepalhimalpeakprofile.org/cheo-himal,Cheo Himal,,28.764722222222222,84.45416666666667,6820.0,22375.0,Opened,13/10/1991,"Dambar Bahadur Gurung,Shigeki Imoto,Ful Bahadur Rai,Pasang Tshering Sherpa",Cheo Himal is located in the north-northwest of Manaslu.,Gandaki Pradesh,Manang/NC,Nashong/NC,Peri,Rs (NRs), (USD)
AMAD,https://nepalhimalpeakprofile.org/ama-dablam,Ama Dablam,Amai Dablang,27.861804,86.860078,6814.0,22365.0,Opened,13/03/1961,"Mike Gill,Wally Romanes,Barry Bishop,Michael Ward","Ama Dablam, also known as Amai Dablang, popularly known as “Matterhorn of the Himalay”, is one of the well-known peaks in the Himalaya range. It is the third most popular Himalayan peak permitted for expedition. It belongs to the Mahalangur sub range of the Nepalese Himalayas. The name Ama Dablam mean “Mother’s necklace”. The long ridges on its either side are considered the arms of mother (ama) wich are protecting her child and the hanging glaciers are considered the dablam, which mean a traditional double pendant with the god’s picture imprinted on it, much worn by the Sherpa women in Nepal.",Province 1,Solukhumbu,Khumbu Pasang Lhamu,Khumbu,Spring 8000 (NRs),Spring 400 (USD)
KGRS,https://nepalhimalpeakprofile.org/khangri-shar,Khangri Shar,,28.01888888888889,86.81527777777778,6811.0,22313.0,Opened,,,"Khangri Shar, located in the Nepal-Tibet border, is the summit along the ridge to the west Pumori. The Base Camp to this peak is by the foot of Pumori.",Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Mahalangur,Sp 5000 (NRs),Sp 400 (USD)
BOBA,https://nepalhimalpeakprofile.org/bobaye-chuli,Bobaye Chuli,,29.959166666666665,81.0225,6808.0,22336.0,Opened,02/11/1996,Tomaz Humar,,Sudhurpashchim Pradesh,Darchula/Bajhang,Api Himal/Kanda,Byas,Spring 5000 (NRs),Spring 400 (USD)
BTAK,https://nepalhimalpeakprofile.org/bhairav-takura,Bhairab Takura,Madiya,28.197777777777777,85.80972222222222,6799.0,22306.0,Opened,07/05/1960,"Kunitoshi Ishihara,Yukihito,Pasang Phutar Sherpa","Bhairav Takura is on the boundary of Nepal and China, has an elevation of 6799m. Bhairav Takura lies in Jugal Mountain Range. Bhairav Takura is 890 meters east of Leonpo Gang, the highest peak of Jugal Mountain Range and 1040 meters South west of Leonpo Gang East.",Bagmati Pradesh,Sindhupalchok/NC,Jugal/NC,Jugal,NRs 5000 in spring season (NRs),USD 400 in spring season (USD)
KTEG,https://nepalhimalpeakprofile.org/khangtega,Khangtega,"Kantega,Kang Taiga",27.7925,86.81944444444444,6783.0,22254.0,Opened,05/06/1963,"David Dornan,Tom Frost,Michael Gill,Jim Wilson","Khangtega, also known as “The Snow Saddle”, is one of the major mountains of the Nepalese Himalayas. The name “The Snow Saddle” is after the majestically saddle shaped view of the summit from the Khumbu and Hinku Valley which sits next to another prominent mountain Thamserku in the north.",Province 1,Solukhumbu,Khumbu Pasang Lhamu,Khumbu,Sp 5000 (NRs),Sp 400 (USD)
GHAN,https://nepalhimalpeakprofile.org/ghanyala-hies,Ghanyala Hies,,27.895555555555553,88.08277777777778,6779.0,22142.0,Opened,,,,Province 1,Taplejung/NC,Phaktanglung/NC,Kanchenjunga,Sp 5000 (NRs),Sp 5000 (USD)
KGRW,https://nepalhimalpeakprofile.org/khangri-west,Khangri West,,28.020555555555553,86.7975,6773.0,21873.0,Opened,,,"Khangri West, part of Mahalangur range is in Solukhumbu district of Eastern Nepal.",Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Mahalangur,Sp 5000 (NRs),Sp 400 (USD)
TKRG,https://nepalhimalpeakprofile.org/thakar-go,Thakar Go,Dragker Go,27.8747,86.5117,6771.0,22215.0,Opened,12/03/2010,"David Gottlieb,Joseph Puryear",,Bagmati Pradesh,Dholkha,Gaurishankar,Rolwaling,Spring 5000 (NRs),Spring 400 (USD)
KYAS,https://nepalhimalpeakprofile.org/kyashar,Kyashar,"Peak 43,Tangnag Tseng",27.755277777777778,86.825,6770.0,22211.0,Opened,18/10/2003,"Bruce Normand,Sam Broderick,Andreas Frank","Kyashar, also known as Thangnaktse or Peak 43, is a peak along the Mahalangur range. It is within the Makalu-Barun National Park.",Province 1,Solukhumbu,Khumbu Pasang Lhamu,Mahalangur,Sp 5000 (NRs),Sp 400 (USD)
PANN,https://nepalhimalpeakprofile.org/phu-khang-go-panbari-north,Phu Khang Go (Panbari North),,28.734722222222224,84.49388888888889,6767.0,22201.0,Opened,,,Phu Khang Go which lies in Manaslu sub range of the Nepalese Himalayas is located in the Manang and Gorkha district of Western Nepal.,Gandaki Pradesh,Manang/Gorkha,Nashong/Chum,Peri,Spring 5000 (NRs),Spring 400 (USD)
HNGU,https://nepalhimalpeakprofile.org/hongu,Hongu,"Sura Peak,Hongku,Pyramid Peak",27.825555555555557,86.97944444444444,6764.0,22192.0,Opened,,,Hongu is part of Mahalangur range located in Solukhumbu and Sankhuwasabha District of Eastern Nepal.,Province 1,Solukhumbu/Sankhuwasabha,Makalu/Mahakulung,Mahalangur,Spring 5000 (NRs),Spring 400 (USD)
TUTS,https://nepalhimalpeakprofile.org/tutse,Tu Tse ( Peak 6 ),"Urkena,Peak 6,Nephu,Urkema",27.771944444444443,87.10138888888888,6758.0,22172.0,Opened,12/09/2023,15 international scout students and 6 Sherpas,Tutse is part of Mahalangur range of the Nepalese Himalayas which is situated in the Sankhuwasabha district of Eastern Nepal.,Province 1,Sankhuwasabha,Makalu,Mahalangur,Spring 5000 (NRs),Spring 400 (USD)
